# line in -y
timestamp, encoder0, encoder1, encoder2
572786064, -3, 72735, -71123
572798041, -3, 72735, -71123
572806062, -3, 72735, -71123
572817042, -3, 72735, -71123
572826031, -3, 72735, -71124
572837031, -3, 72735, -71124
572846031, -3, 72735, -71124
572857032, -3, 72735, -71124
572865031, -3, 72735, -71124
572877031, -3, 72735, -71124
572885031, -3, 72735, -71124
572897032, -3, 72735, -71123
572904031, -3, 72735, -71123
572917031, -3, 72735, -71123
572924031, -3, 72735, -71123
572937031, -3, 72735, -71123
572944031, -3, 72735, -71123
572957031, -3, 72735, -71124
572964031, -3, 72735, -71124
572977030, -3, 72735, -71124
572984031, -3, 72735, -71124
572996031, -3, 72735, -71124
573004031, -3, 72735, -71124
573016042, -3, 72735, -71124
573023031, -3, 72735, -71124
573036030, -3, 72735, -71124
573043031, -4, 72735, -71124
573055041, -4, 72735, -71124
573062039, -4, 72735, -71124
573075030, -4, 72735, -71124
573082040, -3, 72735, -71124
573094042, -2, 72735, -71124
573101027, -2, 72735, -71124
573114040, -1, 72735, -71124
573120038, -1, 72735, -71124
573134043, -2, 72735, -71124
573139026, -2, 72735, -71124
573154040, -3, 72735, -71124
573158041, -4, 72735, -71124
573173057, -4, 72735, -71124
573177031, -4, 72735, -71124
573193032, -4, 72735, -71124
573196031, -4, 72735, -71124
573213064, -3, 72735, -71124
573215031, -3, 72735, -71124
573233032, -2, 72735, -71124
573234040, -2, 72735, -71124
573252059, -2, 72735, -71124
573253056, -2, 72735, -71124
573272031, -3, 72735, -71124
573273034, -3, 72735, -71124
573291052, -3, 72735, -71124
573292041, -3, 72735, -71124
573311028, -3, 72735, -71124
573312033, -3, 72735, -71124
573330031, -3, 72735, -71124
573332050, -2, 72735, -71124
573349031, -2, 72735, -71124
573352025, -2, 72735, -71124
573369031, -3, 72735, -71124
573371050, -3, 72735, -71124
573388031, -3, 72735, -71124
573391026, -4, 72735, -71124
573408031, -4, 72735, -71124
573410051, -4, 72735, -71124
573427042, -3, 72735, -71124
573430026, -3, 72735, -71124
573447031, -2, 72735, -71124
573449027, -2, 72735, -71124
573467032, -2, 72735, -71124
573468032, -2, 72735, -71124
573487031, -3, 72735, -71124
573488033, -3, 72735, -71124
573506040, -4, 72735, -71124
573507034, -4, 72735, -71124
573526031, -4, 72735, -71124
